
Nombre_OU                                            Ruta_OU
---------                                            -------
AIE                                                  OU=AIE,OU=Server OS,OU=XenDeskto…
AIE                                                  OU=AIE,OU=Server OS,OU=XenDeskto…
AIE                                                  OU=AIE,OU=Usuarios_AIE,DC=redaie…
AMPOS                                                OU=AMPOS,OU=Usuarios Entidades E…
ANAIE                                                OU=ANAIE,OU=Usuarios Entidades E…
Bastionado 2023                                      OU=Bastionado 2023,DC=redaie,DC=…
Bravent                                              OU=Bravent,OU=Usuarios_AIE,DC=re…
CITRIXCLOUD                                          OU=CITRIXCLOUD,OU=MCS AIE,OU=AIE…
CITRIXCLOUDPRU                                       OU=CITRIXCLOUDPRU,OU=CITRIXCLOUD…
Computer Thin Client                                 OU=Computer Thin Client,DC=redai…
Computers TEST                                       OU=Computers TEST,DC=redaie,DC=l…
Computers Updates                                    OU=Computers Updates,OU=Computer…
Computers W7                                         OU=Computers W7,DC=redaie,DC=loc…
Consejeros                                           OU=Consejeros,OU=Externos,OU=Usu…
COSTA RICA                                           OU=COSTA RICA,OU=Usuarios Entida…
Desktop OS                                           OU=Desktop OS,OU=XenDesktop7,DC=…
Entidades extranjeras borrar                         OU=Entidades extranjeras borrar,…
Entidades Extranjeras                                OU=Entidades Extranjeras,OU=Serv…
Entidades Extranjeras                                OU=Entidades Extranjeras,OU=Serv…
Externos                                             OU=Externos,OU=Usuarios_AIE,DC=r…
FaxMaker                                             OU=FaxMaker,OU=Grupos AIE,DC=red…
Formacion                                            OU=Formacion,OU=MCS AIE,OU=AIE,O…
Formación                                            OU=Formación,OU=XenDesktop76,DC=…
GDA                                                  OU=GDA,OU=Usuarios,OU=Entidades …
Grupos AIE                                           OU=Grupos AIE,DC=redaie,DC=local
Listas Presidente                                    OU=Listas Presidente,OU=Usuarios…
MCS AIE                                              OU=MCS AIE,OU=AIE,OU=Server OS,O…
MCS BRAVENT                                          OU=MCS BRAVENT,OU=AIE,OU=Server …
MCS Unidad C                                         OU=MCS Unidad C,OU=Server OS,OU=…
MCS                                                  OU=MCS,OU=AIE,OU=Server OS,OU=Xe…
PANAMA                                               OU=PANAMA,OU=Usuarios Entidades …
PARAGUAY                                             OU=PARAGUAY,OU=Usuarios Entidade…
pc                                                   OU=pc,OU=Pruebas,DC=redaie,DC=lo…
PEG                                                  OU=PEG,OU=Usuarios Entidades Ext…
Persistentes                                         OU=Persistentes,OU=AIE,OU=Server…
Pruebas                                              OU=Pruebas,DC=redaie,DC=local
SARIME                                               OU=SARIME,OU=Usuarios,OU=Entidad…
Server OS                                            OU=Server OS,OU=XenDesktop7,DC=r…
Server OS                                            OU=Server OS,OU=XenDesktop715,DC…
Server OS                                            OU=Server OS,OU=XenDesktop76,DC=…
Servicios                                            OU=Servicios,DC=redaie,DC=local
SGP                                                  OU=SGP,OU=Usuarios,OU=Entidades …
SODAIE                                               OU=SODAIE,OU=Usuarios,OU=Entidad…
SODINPRO                                             OU=SODINPRO,OU=Usuarios,OU=Entid…
Test OU                                              OU=Test OU,DC=redaie,DC=local
Thin Client                                          OU=Thin Client,DC=redaie,DC=local
Usuarios a eliminar en un futuro por cambio de email OU=Usuarios a eliminar en un fut…
Usuarios Barcelona                                   OU=Usuarios Barcelona,OU=Usuario…
Usuarios Business Intelligence                       OU=Usuarios Business Intelligenc…
Usuarios Entidades Externas                          OU=Usuarios Entidades Externas,O…
Usuarios Sevilla                                     OU=Usuarios Sevilla,OU=AIE,OU=Us…
Usuarios ya no en AIE con buzon activo               OU=Usuarios ya no en AIE con buz…
Usuarios_AIE                                         OU=Usuarios_AIE,DC=redaie,DC=loc…
Usuarios                                             OU=Usuarios,OU=Entidades Extranj…
Win7 y Win8                                          OU=Win7 y Win8,OU=Desktop OS,OU=…
Windows 10 Citrix                                    OU=Windows 10 Citrix,OU=CITRIXCL…
WinXP                                                OU=WinXP,OU=Desktop OS,OU=XenDes…
XenDesktop7                                          OU=XenDesktop7,DC=redaie,DC=local
XenDesktop715                                        OU=XenDesktop715,DC=redaie,DC=lo…
XenDesktop76                                         OU=XenDesktop76,DC=redaie,DC=loc…

